,Title,Year,Stream on,RT score,Letterboxd score,Director,Cast,Genres,Description,Runtime,Language,Poster
24,After Hours,1985,Unavailable,91,3.5,Martin Scorsese,"Griffin Dunne, Rosanna Arquette, Verna Bloom","Comedy, Thriller, Drama",An ordinary word processor has the worst night of his life after he agrees to visit a girl in Soho whom he met that evening at a coffee shop.,97.0,en,https://image.tmdb.org/t/p/w185/9NyT0qHwVDsazubfSwLxt6fR7Ym.jpg
25,Sorcerer,1977,Unavailable,-,4.1,William Friedkin,"Roy Scheider, Bruno Cremer, Francisco Rabal","Adventure, Thriller","Four men from different parts of the globe, all hiding from their pasts in the same remote South American town, agree to risk their lives transporting several cases of dynamite (which is so old that it is dripping unstable nitroglycerin) across dangerous jungle terrain.",122.0,en,https://image.tmdb.org/t/p/w185/cftvieqsfGgmZ0u3AeInfahvPzr.jpg
26,Hard Eight,1996,Unavailable,82,3.6,Paul Thomas Anderson,"Philip Baker Hall, John C. Reilly, Gwyneth Paltrow","Drama, Crime",A stranger mentors a young Reno gambler who weds a hooker and befriends a vulgar casino regular.,102.0,en,https://image.tmdb.org/t/p/w185/1l5UaoP25Ak8PWCKIULQz70yF03.jpg
27,Murder on the Orient Express,1974,"<img src='https://www.themoviedb.org/t/p/original/emthp39XA2YScoYL1p0sdbAH2WA.jpg'height='50', style='border-radius: 10%;'></img>",90,3.5,Sidney Lumet,"Albert Finney, Lauren Bacall, Martin Balsam","Drama, Thriller, Mystery","In 1935, when his train is stopped by deep snow, detective Hercule Poirot is called on to solve a murder that occurred in his car the night before.",128.0,en,https://image.tmdb.org/t/p/w185/33LmWxGdj4hHE2HCTRZII1ZdMmQ.jpg
28,"BARDO, False Chronicle of a Handful of Truths",2022,"<img src='https://www.themoviedb.org/t/p/original/t2yyOv40HZeVlLjYsCsPHnWLk4W.jpg'height='50', style='border-radius: 10%;'></img>",59,3.6,Alejandro González Iñárritu,"Daniel Giménez Cacho, Griselda Siciliani, Íker Sánchez Solano","Comedy, Drama","A renowned Mexican journalist and documentary filmmaker living in Los Angeles, after being named the recipient of a prestigious international award, is compelled to return to his native country, unaware that this simple trip will push him to an existential limit.",160.0,es,https://image.tmdb.org/t/p/w185/3e6RA0CzFDC0pz5TqiRlbHcsc2n.jpg
29,Mass,2021,Unavailable,95,4.0,Fran Kranz,"Martha Plimpton, Jason Isaacs, Ann Dowd",Drama,Two couples meet for a painful and raw conversation in the aftermath of a violent tragedy.,111.0,en,https://image.tmdb.org/t/p/w185/oqaqsMTLmNaM50tQG4k8EkR6AxY.jpg
30,Tori and Lokita,2022,Unavailable,89,3.4,Luc Dardenne,"Pablo Schils, Joely Mbundu, Alban Ukaj",Drama,"In Belgium today, a young boy and an adolescent girl who have travelled alone from Africa pit their invincible friendship against the difficult conditions of their exile.",88.0,fr,https://image.tmdb.org/t/p/w185/xbDs1ofrAJ7VsxrrxwO6AW2ahn7.jpg
31,The Bridges of Madison County,1995,Unavailable,-,4.0,Clint Eastwood,"Clint Eastwood, Meryl Streep, Annie Corley","Drama, Romance",Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson for four days in the 1960s.,135.0,en,https://image.tmdb.org/t/p/w185/8TfLAfIh5Qxp2J4ZjOafHYhWtDb.jpg
32,The 39 Steps,1935,Unavailable,-,3.7,Alfred Hitchcock,"Robert Donat, Madeleine Carroll, Lucie Mannheim","Mystery, Thriller","Richard Hanney has a rude awakening when a glamorous female spy falls into his bed - with a knife in her back. Having a bit of trouble explaining it all to Scotland Yard, he heads for the hills of Scotland to try to clear his name by locating the spy ring known as The 39 Steps.",86.0,en,https://image.tmdb.org/t/p/w185/paI9Tmqm2cZG6xy4Tnjw3Ydjuw5.jpg
33,I Am Not Your Negro,2016,Unavailable,99,4.1,Raoul Peck,"Samuel L. Jackson, James Baldwin, Martin Luther King Jr.",Documentary,"Working from the text of James Baldwin’s unfinished final novel, director Raoul Peck creates a meditation on what it means to be Black in the United States.",93.0,en,https://image.tmdb.org/t/p/w185/zwd0Zti7BvY1mO0mTPzM0fRrtc6.jpg
34,Pride,2014,Unavailable,92,4.1,Matthew Warchus,"Bill Nighy, Imelda Staunton, Dominic West","Drama, Comedy","In 1984, a group of LGBT activists decide to raise money to support the National Union of Mineworkers during their lengthy strike. There is only one problem: the Union seems embarrassed to receive their support.",122.0,en,https://image.tmdb.org/t/p/w185/Kc3vbqO0X4VRnjACGNoWLNQvHo.jpg
35,The Thin Blue Line,1988,Unavailable,-,4.0,Errol Morris,"Randall Adams, David Harris, Gus Rose","Crime, Documentary",Errol Morris's unique documentary dramatically re-enacts the crime scene and investigation of a police officer's murder in Dallas.,103.0,en,https://image.tmdb.org/t/p/w185/8QDnpl57NCo5zVJIGUVIetthIR6.jpg
36,Don't Look Now,1973,Unavailable,94,3.8,Nicolas Roeg,"Julie Christie, Donald Sutherland, Hilary Mason","Thriller, Drama, Horror","Laura and John, grieved by a terrible loss, meet in Venice, where John is in charge of the restoration of a church, two mysterious sisters, one of whom gives them a message sent from the afterlife.",110.0,en,https://image.tmdb.org/t/p/w185/vIftm9VI0xhiIFEq7dV4YfpTvBb.jpg
37,Parallel Mothers,2021,Unavailable,96,3.6,Pedro Almodóvar,"Penélope Cruz, Milena Smit, Israel Elejalde",Drama,"Two unmarried women who have become pregnant by accident and are about to give birth meet in a hospital room: Janis, middle-aged, unrepentant and happy; Ana, a teenager, remorseful and frightened.",123.0,es,https://image.tmdb.org/t/p/w185/gDaxYkYNbHuM2VlUazbcpnFZB6d.jpg
